id|longitude|latitude|tipogeo|uf|cod_ibge|municipio|nome|end_orig|end_correspondencia_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km_logradouro|num_logradouro|compl_logradouro|bairro|cep|ddd|telefone1|telefone2|telefone3|site|esfera_admin|tipo_esfera|sniic_n1|sniic_n2|sniic_n3|local|cnpj|ano_criacao|ano_abertura|orcamento_proprio|qt_bens_acervo|qt_bens_exatidao|acervo_qt_antropologia_etnografia|acervo_qt_arqueologia|acervo_qt_artes_visuais|acervo_qt_cienciasnaturais_historianatural|acervo_qt_ciencia_tecnologia|acervo_qt_historia|acervo_qt_imagem_som|acervo_qt_virtual|acervo_qt_arquivistico|acervo_qt_biblioteconomico|acervo_qt_documental|acervo_qt_outros|situacao|ingresso_cobrado|ingresso_valor|infra_turistas_estrangeiros|infra_turistas_sinalizacao|sinalizacao_idioma|infra_turistas_etiquetas|etiquetas_idioma|infra_turistas_publicacoes|publicacoes_idioma|infra_turistas_outros|outros_idioma|bebedouro|estacionamento|lanchonete_retaurante|livraria|loja|sanitarios|telefone_publico|outras_instalacoes_1|outras_instalacoes_2|pne_vagas_exclusivas_estacionamento|pne_elevadores_acessiveis|pne_rampa_de_acesso|pne_sanitarios_adaptados|pne_sinalizacao_braile|pne_etiquetas_braile|pne_outros_1|pne_outros_2|medidas_preventivas|medidas_preventivas_treinamento_profissionais|medidas_preventivas_brigada|medidas_preventivas_revisao_extintores|medidas_preventivas_revisao_rede_eletrica|medidas_preventivas_outras
11|-67.806229|-9.980865|1|AC|1200401|Rio Branco|Museu de Paleontologia|Rodovia AC 40, Km 07 - Parque Chico Mendes| |Vila Acre|79908-180|ROD|AC-40|KM 7| | |VILA ACRE|79908-180|68|3221-1933|3221-0961| | |Pública|Municipal|1|1.7|1.7.1|PARQUE CHICO MENDES| |-|-| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Em implantação|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
12|-72.674072|-7.628651|1|AC|1200203|Cruzeiro do Sul|Museu de Cruzeiro do Sul|Travessa Mário Lobão, s/n.| |Centro|69980-000|TV|MARIO LOBAO| |S/N| |CENTRO|69980-000|68|3322-6720| | |www.ac.gov.br/home/memorialjoseaugusto.html|Pública|Estadual|1|1.7|1.7.1| | |2006|2006|Não|3200|Aproximado|1500|15|10|1000|0|700|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|-|0|0|1|0|0|0|0|0|1|0|0|1|1|0
13|-68.499413|-10.654071|1|AC|1200708|Xapuri|Museu Casa Branca|Rua Coronel Brandão, s/n (esquina com Rua 17 de Novembro)| |Centro|69930-000|R|CORONEL BRANDAO| |S/N|ESQUINA COM RUA 17 DE NOVEMBRO|CENTRO|69930-000|68|3542-2358|8402-5328| | |Pública|Municipal|1|1.7|1.7.1| | |-|-|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
14|-67.799764|-9.948186|2|AC|1200401|Rio Branco|Museu Histórico do Poder Judiciário do Estado do Acre|Rua Benjamin Constant, 277| |Centro|69908-520|R|BENJAMIN CONSTANT| |277| |CENTRO|69908-520|68|3211-5560|3211-5357| | |Pública|Estadual|1|1.7|1.7.1| | |1992|1956|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15|-68.492378|-10.64863|1|AC|1200708|Xapuri|Casa Chico Mendes|Rua Dr. Batista de Moraes, 455| |Centro|69930-000|R|DOUTOR BATISTA DE MORAES| |455| |CENTRO|69930-000|68|3542-2651| | | |Privada|Fundação|1|1.7|1.7.2| | |1992|1992|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
16|-67.803886|-9.986111|1|AC|1200401|Rio Branco|Biblioteca da Floresta Marina Silva|CNL/Parque da Maternidade, s/n| |Centro|69900-000| |CNLPARQUE DA MATERNIDADE| |S/N| |CENTRO|69900-000|68|3223-9939| | |www.bibliotecadafloresta.ac.gov.br|Pública|Estadual|1|1.7|1.7.1| | |2007|2007|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
17|-67.824903|-9.975374|2|AC|1200401|Rio Branco|Sala Memória Bacurau|Conjunto Castelo Branco - Quadra 03 - Casa 30| |Floresta|69900-000| |CONJUNTO CASTELO BRANCO| | |QUADRA 03 - CASA 30|FLORESTA|69900-000|68|3227-4977|8403-9363| |www.casadebacurau.com.br|Outra|Particular|1|1.7|1.7.2| | |2006|2006|Não|3000|Aproximado|200|0|10|0|0|1290|500|0|0|0| |0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
18|-68.497417|-10.651983|2|AC|1200708|Xapuri|Fundação Chico Mendes - Centro de Memória|Rua Pio Nazário, 300| |Centro|69390-000|R|PIO NAZARIO| |300| |CENTRO|69390-000|68|3542-2651| | | |Privada|Fundação|1|1.7|1.7.2| | |1992|1992|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
19|-67.819176|-9.969685|1|AC|1200401|Rio Branco|Casa dos Povos da Floresta|Parque da Maternidade, Setor - B| |Centro|69900-660| |PARQUE DA MATERNIDADE| | |SETOR - B|CENTRO|69900-660|68|3224-5668|3224-5667|8403-4108| |Pública|Estadual|1|1.7|1.7.1| | |2001|2003|Não|821|Aproximado|125|19|57|0|0|68|24|85|0|443|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|-|0|0|0|0|0|0|0|0|1|0|0|1|1|0
20|-67.862842|-9.953372|2|AC|1200401|Rio Branco|Museu Universitário da UFAC - Acervos Históricos, Artes (Pinacoteca) e História Natural|Campus Universitário da Universidade Federal do Acre - Rodovia BR 364 - Km 04| |Distrito Industrial|69915-900|ROD|BR-364|KM 4| | |DISTRITO INDUSTRIAL|69915-900|68|3901-2634|8404-1440| |www.ufac.br|Pública|Federal|1|1.7|1.7.1|CAMPUS UNIVERSITARIO DA UNIVERSIDADE FEDERAL DO ACRE| |2008|2009|Não|400020|Aproximado|0|0|20|60000|0|0|30000|0|0|10000| |0|Fechado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
21|-67.824903|-9.975374|2|AC|1200401|Rio Branco|Seringal Museu Capitão Ciríaco|Avenida Doutor Pereira Passos, 225| |06 de Agosto|69901-010|AV|DOUTOR PEREIRA PASSOS| |225| |06 DE AGOSTO|69901-010|68|3224-2503|3224-7941| | |Pública|Municipal|1|1.7|1.7.1| | |1994|1994|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
22|-72.670006|-7.62772|1|AC|1200203|Cruzeiro do Sul|Parque Nacional da Serra do Divisor|Rua Jaminauas, 1556| |Cruzeirão|69980-000|R|JAMINAUAS| |1556| |CRUZEIRAO|69980-000|68|3322-3380| | | |Pública|Federal|1|1.7|1.7.1| | |1989|-|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
23|-70.208054|-9.955277|1|AC|1200344|Manoel Urbano|Parque Estadual Chandless|Possui estrada somente até Manoel Urbano, para chegar até o Chandless somente de barco. A viagem dura 2 dias e meio.| | | | |POSSUI ESTRADA SOMENTE ATE MANOEL URBANO| | |PARA CHEGAR ATE O CHANDLESS SOMENTE DE BARCO A VIAGEM DURA 2 DIAS E MEIO| | |68|3224-8786|3224-3812| | |Pública|Estadual|1|1.7|1.7.1| | |2005|2005|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Fechado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
24|-35.732654|-9.669435|2|AL|2704302|Maceió|Museu Théo Brandão de Antropologia e Folclore|Avenida da Paz, 1.490.| |Centro|57030-440|AV|DA PAZ| |1490| |CENTRO|57030-440|82|3221-2651|3221-2977| |www.museutheobrandao.com.br|Pública|Federal|1|1.7|1.7.1| | |1975|1975|Não|3000|Aproximado|3000|0|0|0|0|0|0|0|0|0|0|0|Aberto|1|R$ 2,00 - público em geral (pagamento opcional).|1|0|0|0|0|1|Catálogo.|0|0|1|1|1|0|1|1|0|0|-|0|1|0|1|0|0|0|0|1|0|0|1|1|0
25|-35.751807|-9.535177|1|AL|2704302|Maceió|Memorial Pontes de Miranda da Justiça do Trabalho em Alagoas|Avenida da Paz, 2.076 - 3º andar.| |Centro|57020-440|AV|DA PAZ| |2076|3º ANDAR|CENTRO|57020-440|82|2121-8122| | |www.trt19.gov.br/mpm/inicial.html|Pública|Federal|1|1.7|1.7.1| | |1994|1994|Não|1500|Aproximado|0|0|10|0|0|1455|25|10|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|1|0|-|0|1|1|0|1|0|0|0|1|1|1|1|1|0
26|-35.737246|-9.668467|2|AL|2704302|Maceió|Museu da II Guerra Mundial|Praça Olavo Bilac, 33| |Centro|57020-650|PCA|OLAVO BILAC| |33| |CENTRO|57020-650|82|3336-2459| | | |Pública|Federal|1|1.7|1.7.1| | |1996|1996|Não|354|Exato|0|0|0|0|0|217|137|0|0|0|0|0|Aberto|0|0|1|1|Inglês.|1|Inglês.|0|0|0|0|1|1|1|0|0|1|1|0|-|1|0|1|0|0|1|0|0|1|1|1|1|1|0
27|-36.627885|-9.415943|2|AL|2706307|Palmeira dos Índios|Casa-Museu de Graciliano Ramos|Rua José Pinto de Barros, 90.| |Centro|57602-010|R|JOSE PINTO DE BARROS| |90| |CENTRO|57602-010|82|9940-0389| | | |Pública|Municipal|1|1.7|1.7.1| | |1973|1973|Não|1200|Aproximado|0|0|0|0|0|1200|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
28|-35.760202|-9.67214|1|AL|2704302|Maceió|Museu dos Esportes Lauthenay Perdigão|Avenida Siqueira Campos, s/n - pavimento térreo do Estádio Rei Pelé.| |Trapiche da Barra|57010-010|AV|SIQUEIRA CAMPOS| |S/N|PAVIMENTO TERREO DO ESTADIO REI PELE|TRAPICHE DA BARRA|57010-010|82|3326-6329| | |www.museudosesportes.com.br|Privada|Associação|1|1.7|1.7.2| |01.066.902-0001-93|1993|1993|Não|13990|Aproximado|0|0|0|0|0|5040|1502|7448|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|1|0|-|1|0|1|0|0|0|0|0|1|1|0|1|0|0
29|-35.723688|-9.671648|2|AL|2704302|Maceió|Museu da Imagem e do Som de Alagoas|Rua Sá e Albuquerque, 275.| |Jaraguá|57025-180|R|SA E ALBUQUERQUE| |275| |JARAGUA|57025-180|82|3315-7882|8833-3588| |www.cultura.al.gov.br|Pública|Estadual|1|1.7|1.7.1| | |1981|1982|Não|12000|Aproximado|0|0|30|0|150|500|10000|0|0|0|0|0|Fechado|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|1|0|1|Elevador.|0|1|1|1|0|0|0|0|1|0|0|1|1|0
30|-35.73697|-9.663176|2|AL|2704302|Maceió|Museu do Instituto Histórico e Geográfico de Alagoas|Rua do Sol, 382| |Centro|57020-970|R|DO SOL| |382| |CENTRO|57020-970|82|3223-7797| | |www.ihgal.al.gov.br|Privada|Associação|1|1.7|1.7.2| | |1869|1869|Não|2595|Aproximado| | | |0|0| |0|0|0| |0|0|Aberto|1|R$ 3,00 - público em geral; R$ 1,50 - estudantes de colégios particulares; gratuidade - estudantes de escolas públicas.|1|0|0|1|não informou|0|0|0|0|0|0|0|0|0|1|0|0|-|0|0|1|1|0|0|0|0|1|1|0|1|1|0
31|-36.62794|-9.413335|1|AL|2706307|Palmeira dos Índios|Museu Xucurus de História, Arte e Costumes|Praça do Rosário, s/n.| |Centro|57600-470|PCA|DO ROSARIO| |S/N| |CENTRO|57600-470|82|3421-2083| | | |Privada|Sociedade|1|1.7|1.7.2| |12.434.502/0001-00|1971|1973|Não|1837|Exato| | | | | | |0|0|0|0|0|0|Aberto|1|R$ 1,00 - público em geral; gratuidade - estudantes do ensino fundamental, médio e superior.|1|0|0|0|0|0|0|1|Intérpretes voluntários em Inglês|0|0|0|0|1|1|0|0|-|0|0|1|1|0|0|0|0|0|0|0|0|0|0
32|-37.999026|-9.385757|2|AL|2702405|Delmiro Gouveia|Museu Regional Delmiro Gouveia|Avenida Presidente Castelo Branco, 60| |Centro|57480-000|AV|PRESIDENTE CASTELO BRANCO| |60| |CENTRO|57480-000|82|3641-4045|3641-4065|3641-4042| |Outra|Mista Prefeitura Municipal e Empresa|1|1.7| | | |1989|1989|Não|0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
33|-35.722191|-9.672449|2|AL|2704302|Maceió|Museu de Tecnologia do Século XX|Rua Sá e Alburquerque, 467| |Jaraguá|57025-901|R|SA E ALBURQUERQUE| |467| |JARAGUA|57025-901|82|3336-1237|3336-7711| |www.acmaceio.com.br|Privada|Associação|1|1.7|1.7.2| | |2003|2003|Não|495|Aproximado|0|0|0|0|250|0|200|0|0|0|0|45|Aberto|1|R$ 2,00 - público em geral; gratuidade - estudantes da rede pública e de universidades federais, estudantes da rede privada e de universidades privadas.|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|0|0|-|0|1|0|0|0|0|0|0|1|1|0|1|1|0
34|-35.73529|-9.66641|2|AL|2704302|Maceió|Museu de Arte (Fundação Pierre Chalita)|Praça Floriano Peixoto, 44.| |Centro|57020-090|PCA|FLORIANO PEIXOTO| |44| |CENTRO|57020-090|82|3223-4298| | | |Privada|Fundação|1|1.7|1.7.2| | |1980|1980| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
35|-35.897062|-9.71014|2|AL|2704708|Marechal Deodoro|Museu Arquidiocesano Dom Ranulpho|Rua São Francisco, s/n| |Centro|57160-000|R|SAO FRANCISCO| |S/N| |CENTRO|57160-000|82|3338-3437| | | |Privada|Sociedade|1|1.7|1.7.2| | |1984|1984| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Fechado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
36|-35.73529|-9.66641|2|AL|2704302|Maceió|Museu de Arte Brasileira (Fundação Pierre Chalita)|Praça Manoel Duarte, 77.| |Jaraguá|57030-100|PCA|MANOEL DUARTE| |77| |JARAGUA|57030-100|82|3223-4298| | | |Privada|Fundação|1|1.7|1.7.2| | |1980|1980| |0|Exato|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
37|-35.728189|-9.662518|2|AL|2704302|Maceió|Memorial Desembargador Hélio Cabral do Ministério Público de Alagoas|Avenida Pedro Jorge Melo e Silva, 79.| |Poço|57025-400|AV|PEDRO JORGE MELO E SILVA| |79| |POCO|57025-400|82|2122-3500|2122-3506| |http://www.mp.al.gov.br/memorial/historico|Pública|Federal|1|1.7|1.7.1| | |2000|2000| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
38|-36.582243|-10.287851|2|AL|2706703|Penedo|Museu da Casa do Penedo|Rua João Pessoa, 126.| |Centro Histórico|57200-000|R|JOAO PESSOA| |126| |CENTRO HISTORICO|57200-000|82|3551-2008| | |www.casadopenedo.com.br|Privada|Fundação|1|1.7|1.7.2| | |1992|1992|Sim|37000|Aproximado|0|0|0|0|0| |10000|0|0|27000|0|0|Aberto|1|R$ 2,00 - público em geral; R$ 1,00 - estudantes da rede pública, privada e universitários; gratuidade - adultos acima de 65 anos e crianças até 5 anos.|0|0|0|0|0|0|0|0|0|1|1|1|0|1|1|1|0|-|0|0|0|0|0|0|0|0|1|0|0|1|1|0
39|-35.731713|-9.661817|2|AL|2704302|Maceió|Usina Ciência - Universidade Federal de Alagoas|Rua Aristeu de Andrade, 452| |Farol|57021-090|R|ARISTEU DE ANDRADE| |452| |FAROL|57021-090|82|3221-8488| | |www.usinaciencia.ufal.br|Pública|Federal|1|1.7|1.7.1| | |1991|1991| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
40|-35.731539|-9.661737|1|AL|2704302|Maceió|Museu de História Natural - UFAL|Avenida Aristeu de Andrade, 452.| |Farol|57051-090|AV|ARISTEU DE ANDRADE| |452| |FAROL|57051-090|82|3221-2724| | |http://www.labdnaforense.org/index2.php?endereco=laboratorio|Pública|Federal|1|1.7|1.7.1| | |1991|1991| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|Fechado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0
41|-35.73529|-9.66641|2|AL|2704302|Maceió|Museu Palácio Floriano Peixoto|Praça Marechal Floriano Peixoto, 517.| |Centro|57020-090|PCA|MARECHAL FLORIANO PEIXOTO| |517| |CENTRO|57020-090|82|3315-7874|8833-3588| |www.cultura.al.gov.br|Pública|Estadual|1|1.7|1.7.1| | |2006|2006|Não|257|Aproximado|0|0|0|0|0|257|0|0|0|0|0|0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|-|0|0|0|0|0|0|0|0|1|0|0|1|0|0
42|-37.248361|-9.370411|2|AL|2708006|Santana do Ipanema|Museu Histórico e de Artes Darras Noya|Praça Manoel Rodrigues da Rocha, s/n / Endereço para correspondência: Secretaria Municipal de Educação de Santana do Ipanema - Rua Dr. Otávio Cabral, s/n.|SECRETARIA MUNICIPAL DE EDUCACAO DE SANTANA DO IPANEMA - RUA DR OTAVIO CABRAL, S/N|Centro|57500-000|PCA|MANOEL RODRIGUES DA ROCHA| |S/N| |CENTRO|57500-000|82|3621-1824|3621-1519| | |Pública|Municipal|1|1.7|1.7.1| | |1959|1960|Não|1136|Aproximado|23|5|57|0|0|1045|0|0|0|0| |0|Aberto|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|-|0|0|1|0|0|0|0|0|1|1|0|0|1|0
