id|longitude|latitude|tipogeo|uf|municipio|cod_ibge|nome|endereco|cep|ddd1|telefone1|ddd2|telefone2|nome_resp|email|email1|email2|instituicao|infos
14|-49.264501|-16.676614|0|GO|Goiânia|5208707|Sala Verde|Rua 11, n. 250 - 12º andar , Centro|74015-170|62|3612-1876|62|3612-1875|Helio Faria Junior/Murilo Castelo Branco Ferreira Costa - Trocou responsável legal|gidurgo@caixa.gov.br| | |Caixa Econômica Federal – Gerência de Apoio ao Desenvolvimento Urbano- Gidur|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
15|-49.330473|-16.656056|0|GO|Goiânia|5208707|Sala Verde da AMMA|Rua 75 no.137 – Terreo – Centro|74055-110|62|3524-1412|62|3524-1415|Ìris Rezende Machado/Clarismino Luiz Pereira Junior|amma@goiania.go.gov.br| | |Prefeitura Municipal de Goiânia (Secretaria Municipal de Meio Ambiente)|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
16|-49.263858|-16.600962|0|GO|Goiânia|5208707|Sala Verde Espaço Samambaia|C.P. 131 - ICB IV - Campus II|74001-970|62|5211485| |5211190|Milca Severino pereira/ Simone Maria Teixeira de Sabóia - Morais|saboias@terra.com.br| | |Universidade Federal de Goiás|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
17|-51.715138|-17.892827|0|GO|Jataí|5211909|Sala Verde Zenaide Gouveia Vilela|Rua Itaruma, Vila Santa Maria|75800-089| | | | |Jordanna Sebastiana Gregório Vilela|salaverde . smma@jatai.go.gov.br| | |Prefeitura Municipal de Jataí – Superintendência de Meio Ambiente|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
18|-48.290727|-17.030412|0|GO|Orizona|5215306|Sala Verde Ribeirão Santa Bárbara|Praça Luís Inácio Martins Araújo - 53, Bairro Nossa Senhora de Fátima|75280-000|64|8132-4897|64|3474-2528|Frances Aparecida de Melo/Neusa Maria Canedo Eduardo|salaverde.orizona@yahoo.com.br, neusacaneduardo@yahoo.com.br, salaverde.orizona@yahoo.com.br| | |Colégio Estadual Senador José da Costa Pereira - Pólo de Educação Ambiental no Município de Orizona|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
19|-48.985831|-15.780117|0|GO|Pirenópolis|5217302|Sala Verde - COEPI|Rua do Carmo, s/n – Alto do Carmo|72980-000|62|3331-1990|62|3331-1990|Patricia Ferraz da Cruz/Rossana Gehlen|contato.coepi@gmail.com, coepi@uol.com.br| | |Comunidade Educacional de Pirenópolis – COEPI|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
20|-48.510632|-15.35452|0|GO|Padre Bernardo|5215603|Sala Verde Pé de Serra| | |61|9959-5397|61|9246-1700|Norenita Rodrigues Serpa Borges/Antônio Maurício Bernardes|terramae@gmail.com| | |AMEFA Padre Bernardo|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
21|-48.604142|-16.643042|0|GO|Silvânia|5220603|Sala Verde Respeitando Todas as Formas de Vida|Aprendizado Marista Padre Lancísio, Rodovia Silvânia/Vianópolis – Km 6|75180-000|62|3332-1320|62|3332-1402|Davi Nardi/ Denise Braga Gomes|salaverde@aprendizadomarista.com.br| | |Subsecretaria Regional de Educação de Silvânia|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
22|-57.675141|-16.088869|0|MT|Cáceres|5102504|Sala Verde - Centro Alternativo de Educação Ambiental de Estação Ecológica de Taiamã- CAEAETA| Av. Getúlio Vargas s/n – Bairro C.O.C|78200-000|65|9225-0047|65|9225-0047|Jair João Mattia| | | |Estação Ecológica de Taiamã/IBAMA|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
23|-56.06263|-15.568762|0|MT|Cuiabá|5103403|Sala Verde do Jardim Botânico de Mato Grosso|Parque Mãe Bonifácia, Rua Cursino Amarante, s/n. Esquina com Severino de Quirós.|78053-372|65|3624-8374| |3624-3786|Luis Henrique Chaves e Vânia Marcia Montalvão|suea@sema.mt.gov.br| | |Secretaria de Estado do Meio Ambiente|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
24|-56.054963|-15.628471|0|MT|Cuiabá|5103403|Sala Verde - Cuiabá Sempre Verde|Rua Ivan Rodrigues Arrais s/n – Horto Florestal Tote Garcia – Bairro: Coxipó|78085-000|65|3052-4291|65|9954-4241|Levi Pires de Andrade / Lucimar Brito da Palma|lubiologa@yahoo.com.br| | |Secretaria Municipal de Meio Ambiente e Desenvolvimento Urbano|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
25|-57.907998|-15.598081|0|MT|Curvalândia|5103437|Sala Verde Rio Cabaçal|Av. Rio Branco, S/N - Centro|78237-000|65|3273-1275|65|3273-1275|Elias Mendes Leal Filho / Fabiana de Souza Bezerra|cavernabezerra@hotmail.com| | |Prefeitura Municipal de Curvelândia|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
26|-58.862389|-15.339249|0|MT|Jauru|5105002|Sala Verde Jauru|Avenida Santos Dumont, 587|78255-000|65|3244-1246|65|3244-1246|Lana Viecili de Velasco|salaverdejauru@hotmail.com| | |Associação Jauruense do Meio Ambiente - AJUMA|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
27|-57.29646|-14.783922|0|MT|Nova Olímpia|5106232|Sala Verde - Centro de Educação Ambiental Angelo Masson - Semente do Conhecimento|Av. Brasil nº 249W – Centro. Endereço da sala: AV Mato Grosso s/n.|78370-000|65|3321623|65|9974-0367|Valdeci dos Anjos Gonçalves|braddock56@hotmail.com| | |Associação do Município de Nova Olímpia de Proteção Ambiental|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
28|-52.345946|-14.666807|0|MT|Nova Xavantina|5106257|Sala Verde - Educanto Ambienta|BR 158 , Km 148 – Caixa Postal 08|78690-000|66|3438-1224|66|3438-2240|Taisir Mahmudo Karim/Patricia Maria Martins Napolis Rossete|pnapolis@uol.com.br| | |Universidade do Estado de Mato Grosso (UNEMAT)|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
29|-59.33256|-15.234972|0|MT|Pontes e Lacerda|5106752|Sala Verde Pontes e Lacerda|Rodovia BR 174, KM 209,Caixa Postal 181|78250-000|65|3266-3015|65|3266-2313|Tatiani Botini|tatianibotini@hotmail.com| | |Universidade do Estado do Mato Grosso|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
30|-54.645831|-16.461174|0|MT|Rondonópolis|5107602|Sala Verde Ciranda Aberta|Rua José Salmen Hanz, 370, Vila Birigui.|78705-060|66|3422-4816|66|8405-2393|Andréa Aguiar Azevedo/Joelma Cristianne da Silva Saravy|arpa.roo@gmail.com| | |Associação Rondonopolitana de Proteção Ambiental|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
31|-55.502566|-11.866056|0|MT|Sinop|5107909|Sala Verde - ENSINOP|Rua Orquídeas, 847, Centro|78550-000|66|3531-2699|66|3531-2699|Marciano José Cé/Maria de Lourdes Alves Bedendi|salaverde.ensinop@hotmail.com| | |Associação Educacional e Sócio Ambiental de Mato Grosso|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
32|-56.13236|-15.64273|0|MT|Várzea Grande|5108402|Sala Verde - Eco Educação - VG|Avenida Castelo Branco, n° 2500, Água Limpa|78110-200|65|3688-8164|65|3688-3123|Murilo Domingos/Tereza Gomes da Cunha|salaverdevg@gmail.com| | |Prefeitura Municipal de Várzea Grande - Prefeitura Municipal de Várzea Grande|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
33|-55.209669|-23.14304|0|MS|Amambaí|5000609|Sala Verde Pingos D´água|Rua Rui Barbosa nº 3572 - Praça Orlando Viol|79990-000|67|3481-5075|67|3481-3639|Dirceu Luiz Lanzarini/Deise Bianchini e Claudenira Videira Scherwinski|semaiamambai@gmail.com, biblioteca_abai@hotmail.Com, slpingosdagua@yahoo.com.br| | |Prefeitura Municipal de Amambaí|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
34|-56.538589|-22.081636|0|MS|Bela Vista|5002100|Sala Verde - Construção e Sensibilização: Uma proposta sustentável.|Secretária de Educação - Rua Conde de Porto Alegre nº 260 - Centro|79260-000|67|3932-1013|67|3932-1013|José Garibaldi da Rosa Neto /Eunice Lino de Andrade Freitas|eunicefreitas@hotmail.com
m| | |Prefeitura Municipal de Bela Vista|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
35|-56.491373|-21.12289|0|MS|Bonito|5002209|Sala Verde Brazil Bonito|Rua 24 de Fevereiro, 1515 – Centro|79290-000|67|3255-1968| |9224-6282|Márcio Soares /Ronald Rosa|associacao@brazilbonito.org.br| | |Associação dos Amigos do Brazil Bonito - AABB|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
36|-54.612923|-20.454168|0|MS|Campo Grande|5002704|Sala Verde PratiquEcologia|Rua Manacajú , nº 997, 1° andar – Centro|79002-211|67|9284-4398|67|9284-4398|Fernando Villalba / Elaine Cavalheiro|pratiquecologia@ig.com.br| | |Ong PratiquEcologia|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
37|-54.610181|-20.489512|0|MS|Campo Grande|5002704|Sala Verde do Parque do Ayrton Senna|Rua Valecio Barbosa Mrtins, n° 394|79050-460|67|3314-3295|67|8408-5662|Noelina Marques Dias /Alex Walber (Coresponsável)|alex.semades@pmcg.ms.gov.br| | |Secretaria Municipal de Meio Ambiente e Desenvolvimento Sustentável|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
38|-57.651557|-19.005657|0|MS|Corumbá|5003207|Sala Verde Buriti|Rua Gabriel Vandoni de Barros nº 1- Bairro Dom Bosco|79333-141| | | | |Ruiter Cunha de Oliveira/Simone do Valle Leone Peinado|smec.ms@terra.com.br, simone.peinado@corumba.ms.gov.br, svlp2002@yahoo.com.br| | |Prefeitura Municipal de Corumbá - Secretaria Executiva de Educação|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
39|-54.714658|-18.477728|0|MS|Coxim|5003306|Sala Verde Taquari|Rua Floriano Peixoto, 326.|79400-000|67|3291-2310|67|3291-2310|Izabel Corrêa Boock de Garcia|svtaquari@gmail.com| | |Universidade Estadual de MS – Unidade Universitária em Coxim – MS - UEMS|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
40|-54.514439|-22.374357|0|MS|Fátima do Sul|5003801|Sala Verde Centro de Educação Ambiental|Rua Rio Dourado, 951, Bairro Katira|79700-000|67|3467-3318|67|3467-3318|Ilda Salgado Machado/Nelci Aparecida Abrão|semect@ybrturbo.com.br| | |Prefeitura Municipal de Fátima do Sul|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
41|-54.237686|-22.416491|0|MS|Glória de Dourados|5004007|Sala Verde de Glória de Dourados|Rua Melvin Jones s/nº,  Bloco F,  Salas 4 e 5 – Mercado do Produtor|79730-000|67|3466-1611|67|3466-1777|Vera Regina Dalcin Baur/ Valmir Dias dos Santos|sema@gloriadedourados.ms.gov.br| | |Prefeitura Municipal Glória de Dourados|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
42|-54.154264|-22.546278|0|MS|Jateí|5005103|Sala Verde - Sala Jateiense de Pesquisas Ambientais-SAJAPAM|Av. Weimar Gonçalves Torres n° 772 – Centro|79720-000|67|3465-1152|67|3465-1133|Gerson Pereira Dias|sajapamjatei@yahoo.com.br, semma@jatei.ms.gov.br| | |Prefeitura Municipal de Jateí|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
43|-54.637281|-23.627925|0|MS|Iguatemi|5004304|Sala Verde Ypacaray|Av. Laudelino Peixoto/ Rua José de Abreu|79960-000|67|3471-1506|67|3471-1506|José Roberto Felippe Arcoverde /Sirlei A. Costa Souza|meioambiente@iguatemi.ms.gov.br| | |Prefeitura Municipal de Iguatemi|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
44|-55.726658|-22.518101|0|MS|Ponta Porã|5006606|Sala Verde Esperança Verde|Rua Guia Lopes, 663 - Centro|79900-000|67|3926-6708|67|3926-6708|Wandi Mara Frediani Tirelli|wandimara@hotmail.com| | |Prefeitura Municipal de Ponta Porã|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
45|-57.880194|-21.709558|0|MS|Porto Murtinho|5006903|Sala Verde - Casa Verde do Parque Natural Municipal da Cachoeira do Apa|Parque Natural Municipal da Cachoeira do Apa – Zona Rural: Colônia Cachoeira|79280-000|37|3287-4530|67|3287-4533|Nelson Cintra Ribeiro/Carlos Henrique de Carvalho Oliveira|sematurpm@yahoo.com.br| | |Prefeitura Municipal de Porto Murtinho|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
46|-54.563496|-19.393618|0|MS|São Gabriel do Oeste|5007695|Sala Verde - Estação Vida Águas do Guarani|Av. Getúlio Vargas, 1276 -Centro|79490-000|67|3295-1405|67|9952-5113|Sérgio Luiz Marcon /André Mauro Dropa de Bortoli|salaverde@saogabriel.ms.gov.br, sde.sapema@terra.com.br, agricultura.sec@terra.com.br| | | Prefeitura Municipal de São Gabriel do Oeste – Secretária de Desenvolvimento Econômico|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
47|-51.46903|-23.556023|0|PR|Apucarana|4101408|Sala Verde - Defensores do Amanhã|Unidade de Conservação Colônia Mineira|86800-310|43|3424-2633|43|3423-0142|Rodolfo Lucas Garcia / Luciane Barreto|lupopadiuk@gmail.com, salaverde@apucarana.pr.gov.br| | |Prefeitura Municipal de Apucarana / Secretaria Municipal de Meio Ambiente e Turismo|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
48|-50.08199|-23.040563|0|PR|Cambará|4103602|Sala Verde - Defensores Ambientais: Antônio Cornas e João Scandolo|Rua Nossa Senhora do Rocio, 1000|86390-000|43|3532-3882|43|3532-3882|Adauto José da Rocha / Juliano Roberto da Silva Raramilho|salaverde.cambara@yahoo.com.br, juliano.raramilho@gmail.com| | |Coocam – Coop. Escola dos Alunos do Colégio Agrícola Est. Cambará|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
49|-53.457526|-24.954279|0|PR|Cascavel|4104808|Sala Verde - Sala Timburi|Rua Paraná , 2786 – Centro|85802-840|45|3321-2115|45|3321-2115|Leopoldo Floriano Fiewsk Junior/Rosinei Roscoz de Resende|salaverde@cascavel.pr.gov.br, rosineir@cascavel.pr.gov.br| | |Secretaria de Meio Ambiente|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
50|-49.239803|-25.440462|0|PR|Curitiba|4106902|Sala Verde - Meio Ambiente e Arte|Rua Engenheiro Ostoja Rogioski , S/N –Jardim Botanico|80001-970|41|3362-1800|41|3362-1800|Carlos Alberto Richa / Clarisse Poliguere|museubotanico@smma.curitiba.pr.gov.br, cpoliguere@smma.curitiba.pr.gov.br| | |Prefeitura Municipal de Curitiba|O Projeto Sala Verde, coordenado pelo Departamento de Educação Ambiental do Ministério do Meio Ambiente (DEA/MMA) consiste no incentivo à implantação de espaços socioambientais para atuarem como potenciais Centros de Informação e Formação Ambiental.
