id|cod_teatro|longitude|latitude|tipogeo|uf|municipio|cod_ibge|nome|cod_orig|end_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|compl_logradouro|bairro|cep|ddd|telefone1|telefone2|fax|email|site|esfera_adm|tipo_esfera|sniic_n1|sniic_n2|sniic_n3|cnpj|situacao|cod_adm|tipo|numero_lugares|data_inauguracao|ano_inauguracao|ano_desaparecimento|data_info
11|1200400|-67.825025|-9.99631|2|AC|Rio Branco|1200401|Teatro Barracão|425|Estrada Sobral, 425|Sobral| |ESTR|SOBRAL| |425| |SOBRAL| |68| | | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Múltiplo|150| |1980| |08-JUL-2005
12|1200500|-67.810883|-9.974296|1|AC|Rio Branco|1200401|Teatro de Arena SESC - Rio Branco|672|Avenida Brasil, 28|Base|69908-670|AV|BRASIL| |28| |BASE|69908-670|68|224-4788| | | | |Privada| |1|1.3|1.3.2| |1| |Arena|108| |1978| |16-SEP-2002
13|1200600|-67.811697|-9.976293|1|AC|Rio Branco|1200401|Teatro do Colégio Acreano|427|Travessa Benjamim Constant, s/n.|Centro|69900-350|TV|BENJAMIM CONSTANT| |S/N| |CENTRO|69900-350|68|224-1230| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|120| |1933| |16-SEP-2002
14|1200700|-67.81876|-9.954783|2|AC|Rio Branco|1200401|Teatro Plácido de Castro|673|Av. Getúlio Vargas, s/n|Vila Ivonete|69914-000|AV|GETULIO VARGAS| |S/N| |VILA IVONETE|69914-000|68|224-6890| |224-5221| | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|490| |1990| |16-SEP-2002
15|1300100|-60.011678|-3.120151|2|AM|Manaus|1302603|Espaço Cultural Casa da Luz|1227|Rua Duque de Caxias, 488|Centro|69001-970|R|DUQUE DE CAXIAS| |488| |CENTRO|69001-970|92| | | | | | | |1|1.3| | |1| |Arquitetônico Alternativo|150| | | |15-OCT-1997
16|1300200|-60.017032|-3.138802|2|AM|Manaus|1302603|Espaço Cultural Chaminé|1228| | | | | | |0| | | |92| | | | | | | |1|1.3| | |1| |Arquitetônico Alternativo| | | | |15-OCT-1997
17|1300300|-59.986122|-3.09459|2|AM|Manaus|1302603|Salão João Donizethe|128|Avenida do Contorno, s/n|A.Mendes|69089-000|AV|DO CONTORNO| |S/N| |A.MENDES|69089-000|92|237-2533| | | | |Pública|Federal|1|1.3|1.3.1| |9| | | | | | |01-JUN-1994
18|1300400|-60.016645|-3.114117|2|AM|Manaus|1302603|Teatro Álvaro Braga|590|Praça Chile/Reservatório, s/n|Adrianópolis|69057-280|PCA|CHILE/RESERVATORIO| |S/N| |ADRIANOPOLIS|69057-280|92|234-2776| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|100| | | |25-NOV-1987
19|1300500|-60.023316|-3.130269|2|AM|Manaus|1302603|Teatro Amazonas (Fotos e Histórico)|674|Praça São Sebastião, s/n|Centro|69010-240|PCA|SAO SEBASTIAO| |S/N| |CENTRO|69010-240|92|622-2420| |622-1880| |http://www.teatroamazonas.com.br/|Pública|Estadual|1|1.3|1.3.1| |1| |Ópera|655|01-JAN-1897|1896| |01-MAR-2005
20|1300600|-60.01756|-3.128263|2|AM|Manaus|1302603|Teatro Américo Alvarez|594|Rua Ramos Ferreira, 124|Centro|69010-120|R|RAMOS FERREIRA| |124| |CENTRO|69010-120|92|234-9323| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|280| |1986| |16-SEP-2002
21|1300700|-60.024581|-3.124625|1|AM|Manaus|1302603|Teatro Arthur Cesar Ferreira Reis|591|Rua Silva Ramos, 833|Centro|69025-030|R|SILVA RAMOS| |833| |CENTRO|69025-030|92| | | | | |Privada| |1|1.3|1.3.2| |1| | | | | | |01-JUN-1994
22|1300800|-60.026178|-3.13316|1|AM|Manaus|1302603|Teatro da Instalação|2201|Rua da Instalação, s/n| |69010-200|R|DA INSTALACAO| |S/N| | |69010-200|92|234-9323| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|240| |1986| |16-SEP-2002
23|1300900|-60.00312|-3.111711|1|AM|Manaus|1302603|Teatro de Bolso de Manaus|142|Rua General Carneiro, s/n|São Francisco|69079-020|R|GENERAL CARNEIRO| |S/N| |SAO FRANCISCO|69079-020|92| | | | | |Privada| |1|1.3|1.3.2| |9| | |200| | | |01-JUN-1994
24|1301000|-60.025301|-3.136775|2|AM|Manaus|1302603|Teatro Gebes Medeiros|2202|Rua Eduardo Ribeiro, s/n| |69010-900|R|EDUARDO RIBEIRO| |S/N| | |69010-900|92|633-3079| | | | |Privada| |1|1.3|1.3.2| |1| |Italiano|140| |2000| |16-SEP-2002
25|1301100|-60.025459|-3.085593|2|AM|Manaus|1302603|Teatro La Salle|2070|Avenida Dom Pedro I, 151|Dom Pedro|69040-040|AV|DOM PEDRO I| |151| |DOM PEDRO|69040-040|92|656-1122| |656-5100| | |Privada| |1|1.3|1.3.2| |1| |Italiano|556| |1998| |16-SEP-2002
26|1301200|-60.022302|-3.133949|1|AM|Manaus|1302603|Teatro Oficina SESC - Manaus|2200|Rua Henrique Martins, 427|Centro|69010-010|R|HENRIQUE MARTINS| |427| |CENTRO|69010-010|92|622-2696| | |sumarn@sesc-am.com.br| |Privada| |1|1.3|1.3.2| |1| |Arquitetônico Alternativo|50| |1991| |16-SEP-2002
27|1301300|-60.022302|-3.133949|1|AM|Manaus|1302603|Teatro SESC - Manaus|593|Rua Henrique Martins, 427|Centro|69010-010|R|HENRIQUE MARTINS| |427| |CENTRO|69010-010|92|622-2696| | |sumarn@sesc-am.com.br| |Privada| |1|1.3|1.3.2| |1| |Arquitetônico Alternativo|126| |1991| |16-SEP-2002
28|1301400|-56.743637|-2.633744|2|AM|Parintins|1303403|Anfiteatro Messias Augusto|596|Avenida das Nações Unidas, s/n| | |AV|DAS NACOES UNIDAS| |S/N| | | |92| | | | | |Pública|Municipal|1|1.3|1.3.1| |1| | |3000| | | |01-JUN-1994
29|1301500|-56.746009|-2.62868|1|AM|Parintins|1303403|Cine-Teatro da Paz|595|Avenida Amazonas, 2300|Centro|69151-000|AV|AMAZONAS| |2300| |CENTRO|69151-000|92| | | | | |Privada| |1|1.3|1.3.2| |1| | | | | | |01-JUN-1994
30|1400100|-60.678979|2.83737|2|RR|Boa Vista|1400100|Anfiteatro do Parque Anauá|1178|Av. Brig. Eduardo Gomes, s/n - Pq Anauá|Estados|69305-010|AV|BRIGADEIRO EDUARDO GOMES| |S/N|PQ ANAUA|ESTADOS|69305-010|95| | |623-1676| | |Pública|Estadual|1|1.3|1.3.1| |1| |Ar Livre|1000| | | |07-MAR-1996
31|1400200|-60.686194|2.834791|2|RR|Boa Vista|1400100|Escola de Música de Roraima/EMUR - Auditório|1176|Av. Brig. Eduardo Gomes, s/n - Pq Anauá|Estados|69305-010|AV|BRIGADEIRO EDUARDO GOMES| |S/N|PQ ANAUA|ESTADOS|69305-010|95|623-1418| |623-1676| | |Pública|Estadual|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|300| |1988| |16-SEP-2002
32|1400300|-60.670933|2.820927|2|RR|Boa Vista|1400100|Palácio da Cultura|195|Praça do Centro Cívico, s/n|Centro|69301-380|PCA|DO CENTRO CIVICO| |S/N| |CENTRO|69301-380|95|623-2280| |623-1676| | |Pública|Estadual|1|1.3|1.3.1| |8| |Arquitetônico Alternativo|500| | | |21-NOV-1997
33|1400400|-60.672432|2.820394|2|RR|Boa Vista|1400100|Sala Projeção do Palácio da Cultura|196|Praça do Centro Cívico, s/n|Centro|69301-380|PCA|DO CENTRO CIVICO| |S/N| |CENTRO|69301-380|95| | | | | |Pública|Estadual|1|1.3|1.3.1| |8| |Arquitetônico Alternativo|100| | | |21-NOV-1997
34|1400500|-60.668293|2.819547|2|RR|Boa Vista|1400100|Teatro Carlos Gomes - TCG|603|Av. João Pereira de Melo, 694|Centro|69301-370|AV|JOAO PEREIRA DE MELO| |694| |CENTRO|69301-370|95|623-2483| |623-1676| | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|264| | | |10-DEC-2001
35|1400600|-60.65974|2.833347|2|RR|Boa Vista|1400100|Teatro do CEFAM|1175|Rua 7 de Setembro, s/n|Canarinho|69306-530|R|7 DE SETEMBRO| |S/N| |CANARINHO|69306-530|95|623-1498| |623-1676| | |Pública|Estadual|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|218| |1993| |16-SEP-2002
36|1400700|-60.68042|2.836615|2|RR|Boa Vista|1400100|Teatro do Museu Integrado de Roraima|604|Av. Brig. Eduardo Gomes, s/n - Pq Anauá|Estados|69305-010|AV|BRIGADEIRO EDUARDO GOMES| |S/N|PQ ANAUA|ESTADOS|69305-010|95|623-1733| |623-1676| | |Pública|Estadual|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|135| | | |07-MAR-1996
37|1500100|-48.4857|-1.455795|1|PA|Belém|1501402|Cine-Teatro Líbero Luxardo|990|Av. Gentil Bittencourt, 650|B.Campos|66035-340|AV|GENTIL BITTENCOURT| |650| |B.CAMPOS|66035-340|91|222-2923| |223-4721| | |Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|94| |1986| |16-SEP-2002
38|1500200|-48.499358|-1.448421|2|PA|Belém|1501402|Estação das Docas - Teatro Maria Sylvia Nunes|2262|Av. Boulevard Castilho França, s/n| |66053-070|AV|BOULEVARD CASTILHO FRANCA| |S/N| | |66053-070|91|212-5525| | |edocas@amazon.com.br| |Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|426| |2000| |16-SEP-2002
39|1500300|-48.491013|-1.429678|2|PA|Belém|1501402|Fundação Curro Velho - Teatro|992|Rua Prof.Nelson Ribeiro, 287|Telégrafo|66113-070|R|PROFESSOR NELSON RIBEIRO| |287| |TELEGRAFO|66113-070|91|244-5925| |244-5840| | |Pública|Estadual|1|1.3|1.3.1| |1|0|Arquitetônico Alternativo|200| | | |10-DEC-1997
40|1500400|-48.495978|-1.452068|2|PA|Belém|1501402|NUAR - UFPa|989|Praça da República, s/n|Comércio|66017-060|PCA|DA REPUBLICA| |S/N| |COMERCIO|66017-060|91|241-8369| |241-8369| | |Pública|Federal|1|1.3|1.3.1| |1|0|Arquitetônico Alternativo|100| | | |31-MAY-1995
41|1500500|-48.449458|-1.463335|2|PA|Belém|1501402|Teatro da Paz (Fotos e Histórico)|676|Rua da Paz, s/n|Centro|66077-490|R|DA PAZ| |S/N| |CENTRO|66077-490|91|224-7355|224-7509|224-7201| |www.cinbesa.com.br/belemtur/conhecer/tea_paz.htm|Pública|Estadual|1|1.3|1.3.1| |1| |Ópera|912|16-FEB-1878|1878| |15-SEP-2002
42|1500600|-48.494249|-1.457804|1|PA|Belém|1501402|Teatro do CCBEU|933|Travessa Padre Eutíquio, 1.309|B.Campos|66023-710|TV|PADRE EUTIQUIO| |1309| |B.CAMPOS|66023-710|91|224-6836|242-9455|242-9455| | |Privada| |1|1.3|1.3.2| |1|0|Italiano|300| |1991| |16-SEP-2002
43|1500700|-48.47357|-1.451816|1|PA|Belém|1501402|Teatro do Museu|988|Av. Gov.Magalhães Barata, 876|São Bráz|66063-240|AV|GOVERNADOR MAGALHAES BARATA| |876| |SAO BRAZ|66063-240|91|249-1233| |249-0460| | |Pública|Federal|1|1.3|1.3.1| |1|0|Italiano|120| | | |10-DEC-1997
44|1500800|-48.473196|-1.451791|1|PA|Belém|1501402|Teatro Estação Gasômetro|2082|Av. Gov.Magalhães Barata, 830|São Bráz|66063-240|AV|GOVERNADOR MAGALHAES BARATA| |830| |SAO BRAZ|66063-240|91|219-1200|219-1221| | | |Pública|Estadual|1|1.3|1.3.1| |1|0|Arquitetônico Alternativo|418| |1998| |16-SEP-2002
45|1500900|-48.495964|-1.452236|1|PA|Belém|1501402|Teatro Experimental Waldemar Henrique|678|Av. Presidente Vargas, 645|Praça da República|66017-000|AV|PRESIDENTE VARGAS| |645| |PRACA DA REPUBLICA|66017-000|91|3224-5656|3222-4762|3224-5656|twh@fcptn.pa.gov.br|www.fcptn.pa.gov.br/conteudoItem.php?codigo_item=23&desc=Espaço%20Cultural|Pública|Estadual|1|1.3|1.3.1| |1| |Múltiplo|100| |1978| |11-MAY-2007
46|1501000|-48.4857|-1.455795|1|PA|Belém|1501402|Teatro Margarida Schiwazzappa|677|Avenida Gentil Bittencourt, 650|B Campos|66035-340|AV|GENTIL BITTENCOURT| |650| |B CAMPOS|66035-340|91|222-2923|241-2333|223-4721| | |Pública|Estadual|1|1.3|1.3.1| |1| |Italiano|544| |1986| |16-SEP-2002
47|1501100|-48.473188|-1.45168|1|PA|Belém|1501402|Teatro São Cristóvão|987|Av. Gov.Magalhães Barata, 827|São Bráz|66063-240|AV|GOVERNADOR MAGALHAES BARATA| |827| |SAO BRAZ|66063-240|91|229-6446| | | | |Privada| |1|1.3|1.3.2| |2|0|Arquitetônico Alternativo|400| | | |03-DEC-1999
48|1501200|-48.494119|-1.451136|1|PA|Belém|1501402|Teatro SESC - Belém|995|Av. Assis de Vasconcelos, 359|Centro|66010-010|AV|ASSIS DE VASCONCELOS| |359| |CENTRO|66010-010|91|211-3200| |223-0047| | |Privada| |1|1.3|1.3.2| |1|0|Arquitetônico Alternativo|100| | | |10-DEC-1997
49|1501300|-48.476208|-1.437674|2|PA|Belém|1501402|Teatro SESI - Gabriel Hermes|484|Av. Dr.Freitas, 2540|Marco|66080-220|AV|DOUTOR FREITAS| |2540| |MARCO|66080-220|91|226-8196|228-1233|226-8196|sesihermes@antbares.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|428| |1986| |16-SEP-2002
50|1501400|-48.486625|-1.440173|2|PA|Belém|1501402|UFBA - Teatro Cláudio Barradas|1255|Av. Magalhães Barata, 611|Nazaré|66040-170|AV|MAGALHAES BARATA| |611| |NAZARE|66040-170|91|249-6400| | |etdufpa@nautilus.com.br| |Pública|Federal|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|80| |1996| |16-SEP-2002
51|1501500|-48.488757|-1.439586|1|PA|Belém|1501402|Universidade Popular - UNIPOP - Teatro|994|Av. Senador Lemos, 557|Telégrafo|66050-000|AV|SENADOR LEMOS| |557| |TELEGRAFO|66050-000|91|224-9074| |225-1668|unipop@amazon.com.br| |Privada| |1|1.3|1.3.2| |1|0|Arquitetônico Alternativo|80| |1989| |16-SEP-2002
52|1501600|-49.907013|-6.084042|2|PA|Parauapebas|1505536|Fundação  Zoobotânica de Carajás - Cine-Teatro|1256|Avenida Pindaré, s/n| |68516-000|AV|PINDARE| |S/N| | |68516-000|91|535-5352| | |lfranco@cvrd.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|423| |1985| |16-SEP-2002
53|1600100|-51.050534|.032259|1|AP|Macapá|1600303|Teatro das Bacabeiras|675|Rua Cândido Mendes, 368|Central|68900-100|R|CANDIDO MENDES| |368| |CENTRAL|68900-100|96|212-5272| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Ópera|705|09-MAR-1990|1990| |16-SEP-2002
54|1600200|-51.061217|.016306|1|AP|Macapá|1600303|Teatro SESC - Araxá|1195|Rua Jovino Dinoá, 4311|Beirol|68902-030|R|JOVINO DINOA| |4311| |BEIROL|68902-030|96|241-1243|241-1152|241-4386| | |Privada| |1|1.3|1.3.2| |1| |Arquitetônico Alternativo|300| | | |17-JAN-1997
55|1700100|-48.331891|-10.293715|2|TO|Palmas|1721000|Teatro Fernanda Montenegro|1211|Avenida Teotônio Segurado, s/n| | | | | |S/N| | | |63|218-5148| | | | |Pública|Municipal|1|1.3|1.3.1| |1|0|Italiano|530|30-JUN-2000|2002| |16-SEP-2002
56|2100100|-46.016772|-1.202974|2|MA|Carutapera|2102903|Teatro São José|605|Avenida Leôncio Rodrigues, s/n| |65295-970|AV|LEONCIO RODRIGUES| |S/N| | |65295-970|98|394-1159| | |pe.mario@terra.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|300| |1949| |16-SEP-2002
57|2100200|-43.363421|-4.860494|2|MA|Caxias|2103000|Centro de Cultura Acad. José Sarney - Teatro|606|Praça do Panteon, 600|Centro|65606-970|PCA|DO PANTEON| |600| |CENTRO|65606-970|99|521-5659| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|350| |1985| |16-SEP-2002
58|2100300|-47.484354|-5.531597|2|MA|Imperatriz|2105302|Teatro Ferreira Gullar|607|Rua Simplício Moreira, 1.755|Centro|65900-000|R|SIMPLICIO MOREIRA| |1755| |CENTRO|65900-000|98|524-3047| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|164| |1988| |16-SEP-2002
59|2100400|-44.277727|-2.535943|2|MA|São Luís|2111300|Cine-Teatro Viriato Corrêa/CEFET-MA|2054|Av. Getúlio Vargas, 4|Monte Castelo|65025-001|AV|GETULIO VARGAS| |4| |MONTE CASTELO|65025-001|98|218-9092|218-9012| |nvc@cefet_ma.br|www.cefet-ma.gov.br|Pública|Federal|1|1.3|1.3.1| |1| |Italiano|530| |1965| |16-SEP-2002
60|2100500|-44.298949|-2.525187|2|MA|São Luís|2111300|Laborarte|1099| | | | | | |0| | | |98|222-7570| | | | |Privada| |1|1.3|1.3.2| |1|0|Arquitetônico Alternativo| | | | |11-MAY-1998
61|2100600|-44.304434|-2.528633|2|MA|São Luís|2111300|Teatro Alcione Nazaré|685|Rua Rampa do Comércio, 200|Centro|65010-530|R|RAMPA DO COMERCIO| |200| |CENTRO|65010-530|98|231-4058| | | | |Pública|Estadual|1|1.3|1.3.1| |3| |Italiano|300| |1988| |16-SEP-2002
62|2100700|-44.329106|-2.554518|1|MA|São Luís|2111300|Teatro Arthur Azevedo (Fotos e Histórico)|686|Rua do Sol, s/n|Centro|65020-590|R|DO SOL| |S/N| |CENTRO|65020-590|98|221-4587|232-0299|221-4587|taa@cultura.ma.gov.br|http://www.cultura.ma.gov.br/site_taa/monumento.jsp|Pública|Estadual|1|1.3|1.3.1| |1| |Ópera|750|02-JUN-1817|1817| |01-MAR-2005
63|2100800|-44.240326|-2.543902|1|MA|São Luís|2111300|Teatro do CINTRA|659|Rua da Companhia, 1|Rio Anil|65045-230|R|DA COMPANHIA| |1| |RIO ANIL|65045-230|98|245-5851| | |cintra.fnl@elo.com.br| |Pública|Estadual|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|200| |1993| |16-SEP-2002
64|2100900|-44.282911|-2.539107|2|MA|São Luís|2111300|Teatro Experimental do Maranhão|609|Rua Quatorze de Julho, 93|Vila Passos|65000-000|R|QUATORZE DE JULHO| |93| |VILA PASSOS|65000-000|98|222-7672| | | | |Pública|Estadual|1|1.3|1.3.1| |1| |Arquitetônico Alternativo|130| |1980| |16-SEP-2002
65|2101000|-44.282911|-2.539107|2|MA|São Luís|2111300|Teatro Itapicuraíba|1275|Rua Mônaco, quadra 39-A, 6|Anjo da Guarda|65085-180|R|MONACO| |0|QUADRA 39-A, 6|ANJO DA GUARDA|65085-180|98|228-0320| | |grita.ma@ig.com.br| |Privada| |1|1.3|1.3.2| |1| |Arena|250| |1979| |16-SEP-2002
66|2101100|-44.326527|-2.536811|2|MA|São Luís|2111300|Teatro Josué Montello|1272| | | | | | |0| | | |98|221-1174| | | | | | |1|1.3| | |1|0| | | | | |02-JUN-1998
67|2200100|-42.843731|-6.243439|2|PI|Amarante|2200509|Centro Cultural de Amarante|1066| | |64400-000| | | |0| | |64400-000|86| | | | | |Pública|Municipal|1|1.3|1.3.1| |1|0|Italiano| | | | |28-NOV-1994
68|2200200|-42.292543|-4.245054|2|PI|Barras|2201200|Teatro de Barras|455|Colégio das Irmãs| |64100-000| |COLEGIO DAS IRMAS| |0| | |64100-000|86| | | | | | | |1|1.3| | |1| | | | | | |28-NOV-1994
69|2200300|-42.164506|-4.82208|2|PI|Campo Maior|2202208|Teatro dos Estudantes|37|Praça Gentil Alves, s/n| |64280-000|PCA|GENTIL ALVES| |S/N| | |64280-000|86|252-1012| | | | |Pública|Municipal|1|1.3|1.3.1| |6| |Italiano|320| | | |22-SEP-1995
70|2200400|-42.232677|-3.902881|2|PI|Esperantina|2203701|Teatro Municipal Diniz Chaves|1170|Rua David Caldas, 59|Centro|64180-000|R|DAVID CALDAS| |59| |CENTRO|64180-000|86|383-1302|383-1186|383-1209| | |Pública|Municipal|1|1.3|1.3.1| |1|48|Arquitetônico Alternativo|300| |1970| |16-SEP-2002
71|2200500|-43.014715|-6.762045|1|PI|Floriano|2203909|Espaço Cultural Maria Bonita|1115|Av. Esmaragdo de Freitas|Centro|64800-000|AV|ESMARAGDO DE FREITAS| |0| |CENTRO|64800-000|89| | | | | |Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|200| | | |22-SEP-1995
72|2200600|-43.014715|-6.762045|1|PI|Floriano|2203909|Espaço Cultural Maria Bonita - Teatro|1098|Avenda Esmaragdo de Freitas, s/n| |64800-000|AV|ESMARAGDO DE FREITAS| |S/N| | |64800-000|89| | | | | |Pública|Estadual|1|1.3|1.3.1| |1|0|Italiano|194| |1986| |16-SEP-2002
73|2200700|-42.574971|-4.751841|2|PI|José de Freitas|2205508|Teatro Municipal Antônio Portela Lima|457|Rua da Glória, s/n.| |64110-000|R|DA GLORIA| |S/N| | |64110-000|86|264-1300| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|250| |1964| |16-SEP-2002
74|2200800|-42.131826|-7.017531|1|PI|Oeiras|2207009|Teatro de Oeiras|498|Praça das Vitórias, 233| |64500-000|PCA|DAS VITORIAS| |233| | |64500-000|89|462-1121| | | | |Pública|Municipal|1|1.3|1.3.1| |1| |Italiano|200| |1940| |16-SEP-2002
75|2200900|-41.775766|-2.906216|2|PI|Parnaíba|2207702|Esp.Cultural Porto das Barcas-Cine-Teatro Delta|1202|Praça da Graça, 301|Centro|64200-000|PCA|DA GRACA| |301| |CENTRO|64200-000|86|322-1570|983-2091| | | |Pública|Estadual|1|1.3|1.3.1| |1|47|Arquitetônico Alternativo|370| | | |16-OCT-1996
76|2201000|-41.779747|-2.897704|1|PI|Parnaíba|2207702|Esp.Cultural Porto das Barcas-Teatro de Arena|1167|Rua Merval Veras, s/n|N.S. do Carmo|64200-030|R|MERVAL VERAS| |S/N| |N.S. DO CARMO|64200-030|86|322-1570|983-2091| | | |Pública|Estadual|1|1.3|1.3.1| |1|47|Arena|600| | | |28-SEP-1998
77|2201100|-41.774502|-2.902501|2|PI|Parnaíba|2207702|Teatro SESC - Antônio Oliveira dos Santos|702|Rua Eunice Weaver, 1|Centro|64200-200|R|EUNICE WEAVEREADOR| |1| |CENTRO|64200-200|86|321-2600|321-2605| |sescpiaui@uol.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|192| |1989| |16-SEP-2002
78|2201200|-41.775757|-2.904229|2|PI|Parnaíba|2207702|Teatro SESI - Parnaíba|2225|Av. Presidente Vargas, 836| |64200-280|AV|PRESIDENTE VARGAS| |836| | |64200-280|86|321-2594| | |sesi.dr.pi@parnet.com.br| |Privada| |1|1.3|1.3.2| |1| |Italiano|400| |1964| |16-SEP-2002
79|2201300|-41.775435|-4.282929|2|PI|Piripiri|2208403|Memorial Embaixador Expedito Rezende-Teatro|1168|Avenida Aderson Ferreira, 915|Centro|64269-000|AV|ADERSON FERREIRA| |915| |CENTRO|64269-000|86|276-1707| | | | |Pública|Municipal|1|1.3|1.3.1| |1|0|Italiano|200| |1985| |16-SEP-2002
80|2201400|-42.808595|-5.064413|1|PI|Teresina|2211001|Espaço Cultural Noel Mendes - Teatro|1166|Av. Petrônio Portella, s/n-C.Universitário|Aeroporto|64003-600|AV|PETRONIO PORTELLA| |S/N|C UNIVERSITARIO|AEROPORTO|64003-600|86|215-5572|215-5571| | | |Pública|Federal|1|1.3|1.3.1| |1|0|Arena|1500| |1996| |16-SEP-2002
