id|longitude|latitude|tipogeo|uf|muncipio|cod_ibge|nome|end_orig|bairro_orig|num_orig|cep_orig|compl_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|complemento|bairro|cep|esfera_adm|tipo_esfera|ddd|telefone1|telefone2|email|site
15|-40.355104|-3.689241|2|CE|Sobral|2312908|Museu do Eclipse|Praça Oswaldo Rangel|Praça do Patrocínio|s/n|62010-810| |PCA|OSWALDO RANGEL| |S/N| |PRACA DO PATROCINIO|62010-810| | |88|3695-5205| | | 
16|-38.648112|-3.710439|2|CE|Caucaia|2303709|Parque Botânico do Ceará|Rodovia CE 090| | |60120-001|Km 3|ROD|CE-090|KM 3| | | |60120-001| | |85|3342-3060|3421-5916|parquebotanico@uol.com.br|www.sfiec.org.br/meioambiente/parque_botanico.asp
17|-38.51985|-3.721678|1|CE|Fortaleza|2304400|Planetário Rubens de Azevedo|Rua Dragão do Mar|Praia de Iracema|81|60060-390| |R|DRAGAO DO MAR| |81| |PRAIA DE IRACEMA|60060-390| | |85|3488-8639|3488-8599|planeta@dragaodomar.org.br|www.dragaodomar.org.br/planetario
18|-38.537559|-3.744393|1|CE|Fortaleza|2304400|Seara da Ciência|Rua Paulino Nogueira|Benfica|315|60020-270|bl. 1, térreo|R|PAULINO NOGUEIRA| |315|BL. 1, TERREO|BENFICA|60020-270| | |85|3366-7375|3366-7376|seara@seara.ufc.br|www.seara.ufc.br
19|-44.315117|-2.560764|2|MA|São Luís|2111300|Laboratório de Divulgação Científica – Ilha da Ciência|Av. dos Portugueses|Campus Universitário do Bacanga|s/n|75080-580|Centro de Ciências Exatas e Tecnologia Depto. de Física, s. 101, bl. 3|AV|DOS PORTUGUESES| |S/N|CENTRO DE CIENCIAS EXATAS E TECNOLOGIA DEPTO. DE FISICA, SALA 101 BLOCO 3|CAMPUS UNIVERSITARIO DO BACANGA|75080-580| | |98|2109-8290|2109-8222|oliva@ufma.br|www.abcmc.org.br/ilhadaciencia
20|-34.866105|-7.130098|2|PB|João Pessoa|2507507|Jardim Botânico de João Pesoa Benjamim Maranhão|Av. Pedro II|Mata do Buraquinho|s/n|58040-440|Torre|AV|PEDRO II| |S/N|TORRE|MATA DO BURAQUINHO|58040-440| | |83|3218-7880|3218-7883|maquino_jb@yahoo.com.br|www.sudema.pb.gov.br
21|-34.843194|-7.121616|1|PB|João Pessoa|2507507|Planetário da Fundação Espaço Cultural da Paraíba|Av. Abdias Gomes de Almeida|Tambauzinho|800|58042-100| |AV|ABDIAS GOMES DE ALMEIDA| |800| |TAMBAUZINHO|58042-100| | |83|3211-6263|3211-6209|planetariopb2@ig.com.br|www.paraiba.pb.gov.br
22|-38.227576|-6.767542|2|PB|Sousa|2516201|Vale dos Dinosauros|Alto Sertão Paraibano| |s/n| |BR 230| |ALTO SERTAO PARAIBANO| |S/N|BR 230| | | | |83|3522-3055|3522-1724| |www.valedosdinossauros.com.br
23|-34.868297|-8.034146|2|PE|Olinda|2609600|Espaço Ciência – Museu Interativo de Ciência|Complexo de Salgadinho| | |53111-970| | |COMPLEXO DE SALGADINHO| | | | |53111-970| | |81|3301-6140|3301-6141|comunicacaoec@gmail.com|www.espacociencia.pe.gov.br
24|-34.955305|-8.071576|2|PE|Recife|2611606|Jardim Botânico do Recife|BR 232|Curado|s/n|50000-230|Km 7|ROD|BR-232|KM 7|S/N| |CURADO|50000-230| | |81|3232-2529| |dirmam_rec@hotmail.com|www.recife.pe.gov.br/meioambiente/jb_apresentacao.php
25|-34.947596|-8.009968|2|PE|Recife|2611606|Parque Estadual Dois Irmãos|Praça Farias Neves|Dois Irmãos|s/n|52171-011| |PCA|FARIAS NEVES| |S/N| |DOIS IRMAOS|52171-011| | |81|3301-6518|3441-7696| |www2.parquedoisirmaos.pe.gov.br/web/parque
26|-42.699048|-9.012825|2|PI|São Raimundo Nonato|2210607|Fundação Museu do Homem Americano|Centro Cultural Sérgio Motta|Campestre| |64770-000| | |CENTRO CULTURAL SERGIO MOTTA| | | |CAMPESTRE|64770-000| | |89|3582-1612| |umdham@terra.com.br|www.fumdham.org.br
27|-35.201845|-5.803223|2|RN|Natal|2408102|Museu Câmara Cascudo|Avenida Hermes da Fonseca|Tirol|1.398|59015-001| |AV|HERMES DA FONSECA| |1398| |TIROL|59015-001| | |84|3222-0923|3215-2537|museucc@mcc.ufrn.br|www.mcc.ufrn.br
28|-37.347787|-5.184126|2|RN|Mossoró|2408003|Museu de Paleontologia Vingt-Un Rosado|Av. Francisco Mota|Escola Superior de Agricultura de Mossoró| |59625-300|ed. Ezequias Pegado Cortez|AV|FRANCISCO MOTA| | |ED. EZEQUIAS PEGADO CORTEZ|ESCOLA SUPERIOR DE AGRICULTURA DE MOSSORO|59625-300| | |84|3315-1734| | | 
29|-35.271323|-5.911552|2|RN|Parnamirim|2403251|Planetário de Parnamirim|Av. Castor Vieira Régis|Cohabinal|s/n|59140-840| |AV|CASTOR VIEIRA REGIS| |S/N| |COHABINAL|59140-840| | |84|3643-3931| |nenaparnamirim@hotmail.com| 
30|-37.074658|-10.908957|2|SE|Aracaju|2800308|Casa de Ciência e Tecnologia da Cidade de Aracaju|Av. Oviedo Teixeira|Jardins|s/n|49026-100| |AV|OVIEDO TEIXEIRA| |S/N| |JARDINS|49026-100| | |79|3217-3370| |ccteca.planetario@yahoo.com.br| 
31|-37.788262|-9.648139|2|SE|Canindé de São Francisco|2801207|Museu de Arqueologia de Xingó|Rodovia Canindé, Piranhas|Xingó| |43200-000|Trevo da UHE|ROD|CANINDE| | |TREVO DA UHE - PIRANHAS|XINGO|43200-000| | |79|2105-6448|2105-6453|max@ufs.br|www.max.org.br
32|-51.059542|.029311|2|AP|Macapá|1600303|Centro de Pesquisas Museológicas Museu Sacaca|Av. Feliciano Coelho|Trem|1.509|68900-260| |AV|FELICIANO COELHO| |1509| |TREM|68900-260| | |96|3212-5361|3212-5362|nubia.almeida@iepa.ap.gov.br|www.iepa.ap.gov.br
33|-60.004538|-3.104628|2|AM|Manaus|1302603|Bosque da Ciência|Av. André Araújo|Petrópolis|2.936|69083-000| |AV|ANDRE ARAUJO| |2936| |PETROPOLIS|69083-000| | |92|3643-3192| |bosque@inpa.gov.br|http://bosque.inpa.gov.br/principal.htm
34|-60.106932|-3.059564|1|AM|Manaus|1302603|Zoo Tropical Manaus|Av. Coronel Teixeira|Ponta Negra|1.320|69037-000| |AV|CORONEL TEIXEIRA| |1320| |PONTA NEGRA|69037-000| | |92|2123-5246|3658-3034|dcampista@osite.com.br|www.tropicalhotel.com.br
35|-48.467538|-1.450317|1|PA|Belém|1501402|Bosque Rodrigues Alves|Av. Almirante Barroso|Bairro do Marco|2.453|66093-020| |AV|ALMIRANTE BARROSO| |2453| |BAIRRO DO MARCO|66093-020| | |91|3241-6332|3241-6169|gab.semma@cinbesa.com.br|www.belem.pa.gov.br/semma/bosque
36|-48.477305|-1.452035|2|PA|Belém|1501402|Museu Paraense Emílio Goeldi|Av. Magalhães Barata|São Brás|376|66040-170| |AV|MAGALHAES BARATA| |376| |SAO BRAS|66040-170| | |91|3249-6373| |centrodevisitantes@museu-goeldi.br|www.museu-goeldi.br
37|-48.617083|-1.518897|2|PA|Barcarena|1501303|Parque de Ciências|Av. Dom Romualdo Coelho|Vila dos Cabanos|372|66447-000| |AV|DOM ROMUALDO COELHO| |372| |VILA DOS CABANOS|66447-000| | |91|3252-3478| |ciparque@yahoo.com.br| 
38|-40.358368|-20.315532|2|ES|Vitória|3205309|Escola da Ciência Biologia e História|Av. Dário Lourenço de Souza|Sambão do Povo|790|29026-080|Mário Cypreste|AV|DARIO LOURENCO DE SOUZA| |790|MARIO CYPRESTE|SAMBAO DO POVO|29026-080| | |27|3332-1612|3381-6994|ecbh@vitoria.es.gov.br|www.vitoria.es.gov.br/ecbh
39|-40.342039|-20.318472|2|ES|Vitória|3205309|Escola da Ciência Física|Rua José de Anchieta|Centro|s/n|29018-270|Parque Moscoso|R|JOSE DE ANCHIETA| |S/N|PARQUE MOSCOSO|CENTRO|29018-270| | |27|3233-3556| |ecienciafisica@gmail.com|www.vitoria.es.gov.br/secretarias/educacao
40|-40.600561|-19.936096|2|ES|Santa Teresa|3204609|Museu de Biologia Profesor Melo Leitão|Av. José Ruschi|Centro|4|29650-000| |AV|JOSE RUSCHI| |4| |CENTRO|29650-000| | |27|3259-1182|3259-1696|ruschi@terra.com.br|www.melloleitao.iphan.gov.br
41|-40.301897|-20.292069|2|ES|Vitória|3205309|Núcleo de Ciências|Av. Fernando Ferrari|Goiabeiras|514|29075-910| |AV|FERNANDO FERRARI| |514| |GOIABEIRAS|29075-910| | |27|3335-2332|3335-7877|nucleoc@npd.ufes.br|www.ufes.br/~nucleoc
42|-40.298619|-20.267579|2|ES|Vitória|3205309|Planetário de Vitória|Av. Fernando Ferrari|Goiabeiras|515|29075-911| |AV|FERNANDO FERRARI| |515| |GOIABEIRAS|29075-911| | |28|3335-2332|3335-7877|nucleoc@npd.ufes.br| 
43|-40.347776|-20.322841|2|ES|Vitória|3205309|Praça da Ciência|Av. Américo Buaiz|Enseada do Suá|s/n|29020-420| |AV|AMERICO BUAIZ| |S/N| |ENSEADA DO SUA|29020-420| | |27|3345-0882| |pracaciencia@yahoo.com.br|www.vitoria.es.gov.br/secretarias/educacao/pracaciencia.htm
44|-43.360915|-21.754709|1|MG|Juiz de Fora|3136702|Centro de Ciências da Universidade Federal de Juiz de Fora|Rua Visconde de Mauá|Santa Helena|300|36015-260| |R|VISCONDE DE MAUA| |300| |SANTA HELENA|36015-260| | |32|3229-7606| |centrodeciencias@ufjf.edu.br|www.centrodeciencias.ufjf.br
45|-47.921383|-19.773488|2|MG|Uberaba|3170107|Centro de Pesquisas Paleontológicas Llewelyn Ivor Price e Museu dos Dinosauros|BR 262| |s/n| |Km 784|ROD|BR-262|KM 784|S/N| | | | | |34|3359-0105| | | 
46|-43.966762|-19.848935|1|MG|Belo Horizonte|3106200|Fundação Zoo-Botânica de Belo Horizonte|Av. Otacílio Negrão de Lima|Pampulha|8.000|31365-450| |AV|OTACILIO NEGRAO DE LIMA| |8| |PAMPULHA|31365-450| | |31|3277-7100|3277-7258|fzbascom@pbh.gov.br|www.pbh.gov.br/zoobotanica
47|-43.957375|-19.864894|2|MG|Belo Horizonte|3106200|Laboratório de Divulgação Científica|Av. Antonio Carlos|Pampulha|6.627|31270-901|Campus Pampulha|AV|ANTONIO CARLOS| |6627|CAMPUS PAMPULHA|PAMPULHA|31270-901| | |31|3499-5675|3499-6604|divertida@fisica.ufmg.br|www.fisica.ufmg.br/divertida
48|-43.887048|-19.630947|2|MG|Lagoa Santa|3137601|Museu Arqueológico da Região de Lagoa Santa – Lapinha|Gruta da Lapinha| | | |Acesso pelo Km 44 da MG-010| |GRUTA DA LAPINHA| | |ACESSO PELO KM 44 DA MG-010| |33400-000| | |31|3681-1363| | | 
49|-43.786618|-21.209099|2|MG|Barbacena|3105608|Museu da Loucura|Rua 14 de agosto|Floresta|s/n|36202-850| |R|14 DE AGOSTO| |S/N| |FLORESTA|36202-850| | |32|3339-1611| |chpb.nep@fhemig.mg.gov.br| 
50|-43.934522|-19.916508|2|MG|Belo Horizonte|3106200|Museu de Artes e Ofício|Praça Rui Barbosa|Centro|s/n|30160-000|Praça da Estação|PCA|RUI BARBOSA| |S/N|PRACA DA ESTACAO|CENTRO|30160-000| | |31|3248-8600| |info@mao.org.br|www.mao.org.br
51|-43.503608|-20.38568|1|MG|Ouro Preto|3146107|Museu de Ciência e Técnica da Escola de Minas|Praça Tiradentes|Centro|20|35400-000| |PCA|TIRADENTES| |20| |CENTRO|35400-000| | |31|3559-3119|3559-1597|museu@ufop.br|www.museu.em.ufop.br/museu
52|-42.875479|-20.757177|2|MG|Viçosa|3171303|Museu de Ciências da Tera Alexis Dorofef|Vila Giannetti|Campus UFV|casa 31|36570-000|Campus Universitário UFV|V|GIANNETTI| | |CAMPUS UNIVERSITARIO UFV|CAMPUS UFV|36570-000| | |31|3899-2662|3899-2648|mctad@ufv.br|www.mctad.ufv.br
53|-43.957375|-19.864894|2|MG|Belo Horizonte|3106200|Museu de Ciências Morfológicas|Av. Antonio Carlos| |6.627|31270-910|Pampulha|AV|ANTONIO CARLOS| |6627|PAMPULHA| |31270-910| | |31|3409-2776| |mcm@icb.ufmg.br|www.icb.ufmg.br/cenex/museumor.htm
54|-43.992737|-19.925989|2|MG|Belo Horizonte|3106200|Museu de Ciências Naturais da PUC Minas|Av. Dom José Gaspar| |290|30535-901|Coração Eucarístico|AV|DOM JOSE GASPAR| |290|CORACAO EUCARISTICO| |30535-901| | |31|3319-4152|3319-4983|museu@pucminas.br|www.pucminas.br/museu
55|-43.913495|-19.890267|1|MG|Belo Horizonte|3106200|Museu de História Natural e Jardim Botânico da UFMG|Rua Gustavo da Silveira|Santa Inês|1.035|31080-010| |R|GUSTAVO DA SILVEIRA| |1035| |SANTA INES|31080-010| | |31|3409-7612|3409-7611|dir@mhnjb.ufmg.br|www.mhnjb.ufmg.br
56|-43.939002|-19.932198|1|MG|Belo Horizonte|3106200|Museu de Mineralogia Profesor Djalma Guimarães|Av. Bias Fortes|Centro|50|30170-010| |AV|BIAS FORTES| |50| |CENTRO|30170-010| | |31|3271-3415| |museumin@pbh.gov.br| 
57|-43.923512|-19.942942|1|MG|Belo Horizonte|3106200|Oi Futuro|Av. Afonso Pena|Mangabeiras|4.001|30130-008| |AV|AFONSO PENA| |4001| |MANGABEIRAS|30130-008| | |31|3229-3131|3229-7696| |www.oifuturo.org.br/museu
58|-42.542373|-19.470315|2|MG|Ipatinga|3131307|Parque da Ciência de Ipatinga|Av. Burle Max|Parque Ipanema|s/n|35162-011| |AV|BURLE MAX| |S/N| |PARQUE IPANEMA|35162-011| | |31|3829-8365| |parquedaciencia@ipatinga.mg.gov.br|www.ipatinga.mg.gov.br
59|-42.878871|-20.754915|1|MG|Viçosa|3171303|Parque da Ciência de Viçosa|Av. P. H. Rolfs|Campus UFV|s/n|36570-000|Campus UFV|AV|P H ROLFS| |S/N|CAMPUS UFV|CAMPUS UFV|36570-000| | |31|3899-2699|3899-2499|epassos@ufv.br|www.ufv.br/crp
60|-43.177045|-22.955965|1|RJ|Rio de Janeiro|3304557|CASA DA CIÊNCIA – CENTRO CULTURAL DE CIÊNCIA E TECNOLOGIA DA UFRJ|Rua Lauro Müller|Botafogo|3|22290-160| |R|LAURO MULLER| |3| |BOTAFOGO|22290-160| | |21|2542-7494| |casadaciencia@casadaciencia.ufrj.br|www.casadaciencia.ufrj.br
61|-43.129869|-22.904928|2|RJ|Niterói|3303302|Casa da Descoberta|Av. Litorânea|Boa Viagem|s/n|24340-520|Campus da Praia Vermelha|AV|LITORANEA| |S/N|CAMPUS DA PRAIA VERMELHA|BOA VIAGEM|24340-520| | |21|2629-5809|2629-5887|descubra@if.uff.br|www.casadadescoberta.uff.br
62|-43.170576|-22.9037|1|RJ|Rio de Janeiro|3304557|Centro Cultural da Saúde|Praça Marechal Âncora|Centro|s/n|20021-200| |PCA|MARECHAL ANCORA| |S/N| |CENTRO|20021-200| | |21|2240-5568|2240-2845|ccs@ccs.saude.gov.br|www.ccs.saude.gov.br
63|-43.187001|-22.902664|2|RJ|Rio de Janeiro|3304557|Centro Cultural Light|Av. Marechal Floriano|Centro|168|20080-002| |AV|MARECHAL FLORIANO| |168| |CENTRO|20080-002| | |21|2211-7295|2211-4420|eventos@light.com.br|www.light.com.br
64|-43.413885|-22.80788|1|RJ|Nilópolis|3303203|Espaço Ciência Interativa|Rua Lucio Tavares|Centro|1.045|26530-060| |R|LUCIO TAVARES| |1045| |CENTRO|26530-060| | |21|2691-9804|2691-6396|espacocienciainterativa@gmail.com| 
65|-43.22862|-22.921916|1|RJ|Rio de Janeiro|3304557|Espaço Ciência Viva|Av. Heitor Beltrão|Tijuca|321|20550-000| |AV|HEITOR BELTRAO| |321| |TIJUCA|20550-000| | |21|2204-0599| |museu@cienciaviva.org.br|www.cienciaviva.org.br
66|-43.238509|-22.840585|2|RJ|Rio de Janeiro|3304557|Espaço COPPE Miguel de Simoni Tecnologia e Desenvolvimento|Av. Brigadeiro Trompowsky|Ilha do Fundão|s/n|21945-970|CT, bl. 1, s. 238|AV|BRIGADEIRO TROMPOWSKY| |S/N|CT, BL. 1, S. 238|ILHA DO FUNDAO|21945-970| | |21|2562-8230|2562-8296|esp@espaco.coppe.ufrj.br|www.espaco.coppe.ufrj.br
67|-43.173988|-22.902449|1|RJ|Rio de Janeiro|3304557|Espaço Cultural da Marinha|Av. Alfred Agache|Centro|s/n|20021-000| |AV|ALFRED AGACHE| |S/N| |CENTRO|20021-000| | |21|2233-9165|2104-6721| |www.mar.mil.br/dphdm
68|-41.029179|-21.663172|2|RJ|São João da Barra|3305000|Espaço da Ciência “Maria de Lourdes Coelho Anunciação” de São João da Bara|Av. Atlântica|Balneário de Atafona|s/n|20200-000| |AV|ATLANTICA| |S/N| |BALNEARIO DE ATAFONA|20200-000| | |22|2741-0289| | | 
69|-43.711261|-22.608304|2|RJ|Paracambi|3303609|Espaço da Ciência de Paracambi|Rua Sebastião de Lacerda|Fábrica|s/n|26600-000|Centro Tecnológico Universitário de Paracambi|R|SEBASTIAO DE LACERDA| |S/N|CENTRO TECNOLOGICO UNIVERSITARIO DE PARACAMBI|FABRICA|26600-000| | |21|2683-2885| | |www.cederj.edu.br/fundacaocecierj
70|-43.20129|-22.116155|1|RJ|Três Rios|3306008|Espaço da Ciência de Três Rios|Rua Barão de Entre Rios|Centro|s/n|25802-315| |R|BARAO DE ENTRE RIOS| |S/N| |CENTRO|25802-315| | |24|2252-0357| |marlicbiaqqi@hotmail.com| 
71|-43.114775|-22.886396|2|RJ|Niterói|3303302|Espaço UFF de Ciências|Av. Jansen de Melo|Centro|174|24030-150| |AV|JANSEN DE MELO| |174| |CENTRO|24030-150| | |21|2629-2313|2629-9611|espauff@vm.uff.br|www.uff.br/espacouffciencias
72|-43.241075|-22.900866|2|RJ|Rio de Janeiro|3304557|Fundação Cecierj – Centro de Ciências  do Estado do Rio de Janeiro|Rua Visconde de Niterói|Mangueira|1.364|22241-020| |R|VISCONDE DE NITEROI| |1364| |MANGUEIRA|22241-020| | |21|2568-1226|2568-0725|cederj@cederj.rj.gov.br|www.cederj.edu.br/fundacaocecierj
73|-43.227662|-22.903247|2|RJ|Rio de Janeiro|3304557|Fundação Jardim Zoológico RIOZOO|Parque Quinta da Boa Vista|São Cristóvão|s/n|20940-040| | |PARQUE QUINTA DA BOA VISTA| |S/N| |SAO CRISTOVAO|20940-040| | |21|3878-4200| |riozoo@pcrj.rj.gov.br|www.rio.rj.gov.br/riozoo
74|-43.178759|-22.913945|1|RJ|Rio de Janeiro|3304557|Fundação Museu da Imagem e do Som|Rua Visconde de Maranguape|Lapa|15|20021-390|2º andar|R|VISCONDE DE MARANGUAPE| |15|2º ANDAR|LAPA|20021-390| | |21|2332-9508|2332-9520|mis@mis.rj.gov.br|www.mis.rj.gov.br
75|-43.230213|-22.978821|1|RJ|Rio de Janeiro|3304557|Fundação Planetário da Cidade do Rio de Janeiro|Rua Vice-Governador Rubens Berardo|Gávea|100|22451-070| |R|VICE-GOVERNADOR RUBENS BERARDO| |100| |GAVEA|22451-070| | | | | |planetario@rio.rj.gov.br|www.rio.rj.gov.br/planetario
76|-43.684094|-22.920453|2|RJ|Rio de Janeiro|3304557|Fundação Planetário da Cidade do Rio de Janeiro|Rodovia Mário Covas|Santa Cruz|Km 1|23565-130| |ROD|MARIO COVAS|KM 1| | |SANTA CRUZ|23565-130| | |21|2274-0046|2529-2146|planetario@rio.rj.gov.br|www.jbrj.gov.br
77|-43.229273|-22.966188|1|RJ|Rio de Janeiro|3304557|Instituto de Pesquisas Jardim Botânico do Rio de Janeiro|Rua Pacheco Leão|Jardim Botânico|915|22460-030| |R|PACHECO LEAO| |915| |JARDIM BOTANICO|22460-030| | |21|2511-0511|2259-5041|jbrj@jbrj.gov.br|www.ivb.rj.gov.br
78|-43.180065|-22.964931|2|RJ|Rio de Janeiro|3304557|INSTITUTO VITAL BRAZIL|Rua Maestro José Botelho|Vital Brazil|64|24230-410| |R|MAESTRO JOSE BOTELHO| |64| |VITAL BRAZIL|24230-410| | |21|2711-9223|2711-9092|luis.eduardo@ivb.rj.gov.br|www.ivb.rj.gov.br
79|-43.707147|-22.740723|2|RJ|Seropédica|3305554|Jardim Botânico da Universidade Federal Rural do Rio de Janeiro|Rodovia BR 465|Campus Universitário|Km 7|23890-000| |ROD|BR-465| | | |CAMPUS UNIVERSITARIO|23890-000| | |21|3787-4028|2682-1210|jbrural@ufrrj.br|www.ufrrj.br
80|-43.388725|-22.884973|2|RJ|Rio de Janeiro|3304557|Museu Aeroespacial|Av. Marechal Fontenelle|Campo dos Afonsos|2.000|21740-000| |AV|MARECHAL FONTENELLE| |2000| |CAMPO DOS AFONSOS|21740-000| | |21|2108-8954|2108-8955|musal@musal.aer.mil.br|www.musal.aer.mil.br
81|-42.391351|-22.812185|2|RJ|Araruama|3300209|Museu Arqueológico de Araruama|Rodovia RJ-124|Morro Grande|Km 25|28970-000| |ROD|RJ-124|KM 25| | |MORRO GRANDE|28970-000| | |22|2764-6350| |museu@araruama.rj.gov.br| 
82|-43.188804|-22.919524|2|RJ|Rio de Janeiro|3304557|Museu Casa de Benjamin Constant|Rua Monte Alegre|Santa Teresa|255|20240-320| |R|MONTE ALEGRE| |255| |SANTA TERESA|20240-320| | |21|2242-0062|2509-1248|museubenjaminconstant@iphan.gov.br| 
83|-43.232578|-22.858796|2|RJ|Rio de Janeiro|3304557|Museu da Geodiversidade|Av. Athos da Silveira Ramos|Ilha do Fundão|274|21941-916|Cidade Universitária|AV|ATHOS DA SILVEIRA RAMOS| |274|CIDADE UNIVERSITARIA|ILHA DO FUNDAO|21941-916| | |21|2598-9464|2598-3093|museugeodiversidade@geologia.ufrj.br|www.geologia.ufrj.br/museu
84|-43.172647|-22.90448|1|RJ|Rio de Janeiro|3304557|Museu da Justiça do Estado do Rio de Janeiro|Rua Dom Manuel|Centro|29|20010-090|3º andar|R|DOM MANUEL| |29|3º ANDAR|CENTRO|20010-090| | |21|3133-3768|3133-3767|museudajustica@tj.rj.gov.br|www.tj.rj.gov.br
85|-43.230565|-22.859093|2|RJ|Rio de Janeiro|3304557|Museu da Química Profesor Athos da Silveira Ramos|Centro de Tecnologia|Ilha do Fundão|s. A-517|21949-900|bl. A| |CENTRO DE TECNOLOGIA| | |BL. A|ILHA DO FUNDAO|21949-900| | |21|2562-7555|2562-7862|julio@iq.ufrj.br|http://server2.iq.ufrj.br/museu
86|-43.176387|-22.926417|1|RJ|Rio de Janeiro|3304557|Museu da República|Rua do Catete|Catete|153|22220-000| |R|DO CATETE| |153| |CATETE|22220-000| | |21|2558-6350|2285-0795|museu@museudarepublica.org.br|www.museudarepublica.org.br
87|-43.243457|-22.875859|2|RJ|Rio de Janeiro|3304557|Museu da Vida|Av. Brasil|Manguinhos|4.365|21045-900| |AV|BRASIL| |4365| |MANGUINHOS|21045-900| | |21|3865-2121|2590-6747|museudavida@coc.fiocruz.br|www.museudavida.fiocruz.br
88|-43.034011|-22.949739|2|RJ|Niterói|3303302|Museu de Arqueologia de Itaipu|Praça de Itaipu|Itaipu|s/n|24340-005| |PCA|DE ITAIPU| |S/N| |ITAIPU|24340-005| | |21|2709-4079| |mai@iphan.gov.br| 
